_date,total_clones,unique_clones
2021-06-19,18,18
2021-06-20,57,27
2021-06-21,23,19
2021-06-22,57,28
2021-06-23,171,44
2021-06-24,98,37
2021-06-25,77,33
2021-06-26,98,35
2021-06-27,66,27
2021-06-28,48,18
2021-06-29,96,33
2021-06-30,75,28
2021-07-01,195,45
2021-07-02,164,40
2021-07-03,181,45
2021-07-04,238,39
2021-07-05,507,51
2021-07-06,146,40
2021-07-07,139,34
2021-07-08,116,33
2021-07-09,119,34
2021-07-10,116,37
2021-07-11,121,40
2021-07-12,156,38
2021-07-13,166,37
2021-07-14,95,27
2021-07-15,191,35
2021-07-16,182,35
2021-07-17,92,28
2021-07-18,155,33
2021-07-19,140,34
2021-07-20,202,34
2021-07-21,174,35
2021-07-22,155,35
2021-07-23,214,35
2021-07-24,142,27
2021-07-25,156,35
2021-07-26,130,30
2021-07-27,150,36
2021-07-28,153,30
2021-07-29,87,32
2021-07-30,159,38
2021-07-31,92,31
2021-08-01,91,25
2021-08-02,102,24
2021-08-03,165,31
2021-08-04,311,43
2021-08-05,206,37
2021-08-06,161,29
2021-08-07,181,35
2021-08-08,152,28
2021-08-09,101,29
2021-08-10,197,35
2021-08-11,351,42
2021-08-12,101,31
2021-08-13,202,40
2021-08-14,163,33
2021-08-15,87,21
