_date,total_views,unique_views
2021-06-20,1,1
2021-06-26,5,1
2021-06-27,1,1
2021-06-28,1,1
2021-07-03,7,1
2021-07-24,1,1
2021-08-01,2,1
2021-08-04,7,1
2021-08-13,5,1
2021-09-30,1,1
2021-10-16,3,1
2021-10-21,5,1
2021-10-25,2,1
2021-11-01,5,2
2021-11-13,1,1
2021-11-17,5,1
2021-11-18,1,1
2021-11-20,1,1
2021-11-21,1,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-11,1,1
2021-12-21,6,1
2022-01-12,1,1
2022-01-13,5,1
2022-01-18,1,1
2022-01-28,3,1
2022-01-29,1,1
2022-02-21,2,1
2022-02-23,8,2
2022-03-02,2,1
2022-03-03,1,1
2022-03-07,1,1
2022-03-19,1,1
2022-03-22,1,1
2022-03-25,5,1
2022-04-01,1,1
2022-04-04,3,2
2022-04-23,1,1
2022-04-26,2,1
2022-05-06,3,1
2022-05-09,3,1
2022-05-21,4,1
2022-06-25,5,2
2022-06-27,1,1
2022-06-29,4,1
2022-07-03,1,1
2022-07-06,1,1
2022-07-13,2,1
2022-07-14,3,1
2022-07-25,3,1
2022-08-29,2,2
2022-09-12,1,1
2022-09-13,1,1
2022-09-15,3,1
2022-09-22,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-12,3,1
2022-10-29,1,1
2022-11-06,1,1
2022-11-09,1,1
2022-11-22,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-30,1,1
2022-12-02,1,1
2022-12-04,1,1
2022-12-05,1,1
2022-12-08,4,2
2022-12-21,1,1
2022-12-25,1,1
2023-01-01,1,1
2023-01-18,2,2
2023-01-24,7,1
2023-01-31,1,1
2023-02-17,5,2
2023-02-24,7,3
2023-02-26,2,1
2023-02-27,2,1
2023-03-16,2,1
2023-03-17,1,1
2023-03-19,2,1
2023-04-03,1,1
2023-04-04,4,3
2023-04-11,2,2
2023-04-20,1,1
2023-04-29,1,1
2023-05-08,1,1
2023-05-18,1,1
2023-05-19,1,1
2023-06-01,6,1
2023-06-12,1,1
2023-06-13,3,2
2023-06-14,1,1
2023-06-19,1,1
2023-06-21,8,6
2023-06-22,3,1
2023-06-23,5,3
2023-06-28,2,1
2023-07-01,1,1
2023-07-03,1,1
2023-07-08,7,1
2023-07-09,1,1
2023-07-14,1,1
2023-07-26,1,1
2023-07-28,1,1
2023-08-05,1,1
2023-08-09,2,2
2023-08-11,1,1
2023-08-12,2,2
2023-08-13,13,8
2023-08-14,6,4
2023-08-15,3,2
2023-08-20,1,1
2023-08-23,1,1
2023-08-29,1,1
2023-08-30,1,1
2023-09-29,1,1
2023-10-01,1,1
2023-10-02,2,2
2023-10-09,1,1
2023-10-10,1,1
2023-10-12,3,1
2023-10-15,1,1
2023-10-26,1,1
2023-11-08,1,1
2023-11-13,1,1
2023-11-15,1,1
2023-11-19,1,1
2023-11-28,1,1
2023-11-30,1,1
2023-12-03,1,1
2023-12-04,1,1
2023-12-06,1,1
2023-12-08,1,1
2023-12-11,1,1
2023-12-17,1,1
2023-12-19,3,1
2023-12-21,2,1
2023-12-22,4,2
2023-12-24,1,1
2023-12-26,1,1
2024-01-05,3,2
2024-01-06,3,1
2024-01-10,2,2
2024-01-12,1,1
2024-01-22,1,1
